episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,-1,,0,,house
1,-1,,6,,house
2,0,0.0,5,11.0,house
3,-1,,8,,house
4,0,0.0,8,14.0,house
5,0,0.0,5,16.0,house
6,-1,,8,,house
7,1,20.0,3,,house
8,1,20.0,3,,house
9,1,30.0,3,,house
10,0,0.0,8,15.0,house
11,-1,,5,,house
12,1,20.0,5,,house
13,0,0.0,5,20.0,house
14,-1,,6,,house
15,-1,,3,,house
16,0,0.0,3,11.0,house
17,1,30.0,3,,house
18,0,0.0,3,15.0,house
19,-1,,5,,house
20,-1,,3,,house
21,0,0.0,0,3.0,house
22,-1,,8,,house
23,0,0.0,3,18.0,house
24,0,0.0,0,10.0,house
25,-1,,3,,house
26,0,0.0,3,8.0,house
27,0,0.0,6,13.0,house
28,0,0.0,5,10.0,house
29,0,0.0,5,11.0,house
