,"-, clemscore","all, Average % Played","all, Average Quality Score","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)"
0_gemma-3-27b,14.0,86.67,16.15,86.67,16.15,29.94
0_gpt-4o-2024-08-06,28.67,90.0,31.85,90.0,31.85,34.42
0_llama-3.3-70b,4.0,63.33,6.32,63.33,6.32,11.16
1a_gemma-3-27b,20.67,76.67,26.96,76.67,26.96,33.36
1a_gpt-4o-2024-08-06,25.0,96.67,25.86,96.67,25.86,30.42
1a_llama-3.3-70b,4.67,60.0,7.78,60.0,7.78,15.55
1b_gemma-3-27b,17.66,86.67,20.38,86.67,20.38,30.13
1b_gpt-4o-2024-08-06,26.33,93.33,28.21,93.33,28.21,30.44
1b_llama-3.3-70b,9.66,53.33,18.12,53.33,18.12,34.68
1c_gemma-3-27b,17.33,90.0,19.26,90.0,19.26,20.74
1c_gpt-4o-2024-08-06,25.67,96.67,26.55,96.67,26.55,25.11
1c_llama-3.3-70b,2.66,80.0,3.33,80.0,3.33,9.17
2a_gemma-3-27b,22.0,83.33,26.4,83.33,26.4,33.15
2a_gpt-4o-2024-08-06,27.0,100.0,27.0,100.0,27.0,30.87
2a_llama-3.3-70b,2.67,40.0,6.67,40.0,6.67,12.31
2b_gemma-3-27b,12.34,96.67,12.76,96.67,12.76,18.5
2b_gpt-4o-2024-08-06,27.67,96.67,28.62,96.67,28.62,28.25
2b_llama-3.3-70b,3.34,60.0,5.56,60.0,5.56,13.81
2c_gemma-3-27b,10.0,93.33,10.71,93.33,10.71,18.64
2c_gpt-4o-2024-08-06,18.67,93.33,20.0,93.33,20.0,20.0
2c_llama-3.3-70b,5.0,73.33,6.82,73.33,6.82,13.93
3a_gemma-3-27b,16.33,93.33,17.5,93.33,17.5,24.44
3a_gpt-4o-2024-08-06,33.0,93.33,35.36,93.33,35.36,36.46
3a_llama-3.3-70b,1.66,80.0,2.08,80.0,2.08,7.21
3b_gemma-3-27b,19.0,100.0,19.0,100.0,19.0,29.17
3b_gpt-4o-2024-08-06,34.0,100.0,34.0,100.0,34.0,31.69
3b_llama-3.3-70b,2.66,80.0,3.33,80.0,3.33,11.67
3c_gemma-3-27b,13.0,96.67,13.45,96.67,13.45,26.76
3c_gpt-4o-2024-08-06,33.0,100.0,33.0,100.0,33.0,36.02
3c_llama-3.3-70b,3.34,60.0,5.56,60.0,5.56,16.17
